DEPARTAMENTO,PROVINCIA,MUNICIPIO,CENTRO_POBLADO,AREA,HOMBRES,MUJERES,TOTAL_DE_POBLACION,Ladrillo_bloque_cemento_hormigon,Adobe_tapial,Tabique_quincha,Piedra,Madera,Cana_palma_tronco,Otro_paredes,Calamina_plancha_metalica,Teja_arcilla_cemento_fibrocemento,Losa_hormigon_armado,Paja_palma_cana_barro,Otro_techos,Tierra,Tablon_madera,Machihembre_parquet,Ceramica_porcelanato,Cemento,Ladrillo,Piso_Flotante,Otro_pisos,Caneria_red,Pileta_publica,Carro_repartidor,Pozo_noria_con_bomba,Pozo_noria_sin_bomba,Rio_acequia_vertiente,Manantial_vertiente_protegida,Lago_laguna_lluvia,Otra_agua,Al_alcantarillado,A_una_camara_septica,A_un_pozo_ciego,A_la_calle,A_la_quebrada_rio,A_un_lago_laguna_curichi,No_tiene_desague,Red_empresa_electrica,Motor_propio,Panel_solar,Otra_energia,No_tiene_energia,Propia,Alquilada,En_contrato_anticretico,En_contrato_anticretico_y_alquiler,Cedida_por_servicios,Prestada_por_parientes_o_amigos,Otra_tenencia,Sin_hacinamiento,Hacinamiento_medio,Hacinamiento_alto
COCHABAMBA,MIZQUE,ALALAY,Alalay,0,197,210,407,27,88,0,4,2,0,4,77,36,1,5,6,89,0,0,20,11,0,0,5,65,25,0,0,0,4,15,8,8,4,6,30,3,0,1,77,81,0,2,1,41,117,1,0,0,5,0,2,82,19,24
LA PAZ,CARANAVI,CARANAVI,Baurista Saavedra,0,629,508,1137,196,62,0,2,126,37,23,381,2,13,37,13,234,4,1,37,157,6,0,5,227,10,1,2,2,38,144,11,11,11,21,195,3,0,1,212,253,2,1,3,187,401,12,1,0,19,11,2,320,41,85
LA PAZ,CARANAVI,CARANAVI,Bella Vista,0,17,28,45,20,6,0,0,0,2,1,27,0,0,2,0,5,1,0,0,21,0,0,2,2,0,0,0,0,4,23,0,0,6,0,1,0,0,0,21,22,0,0,1,6,19,1,0,0,7,0,2,26,1,2
LA PAZ,INGAVI,SAN ANDRÉS DE MACHACA,CENTRO MAURI,0,55,36,91,24,18,0,0,0,0,3,43,0,1,1,0,27,0,0,0,18,0,0,0,0,2,0,24,13,4,1,1,0,0,2,16,0,0,1,24,31,0,1,2,11,41,0,0,0,3,1,0,29,2,14
LA PAZ,CARANAVI,CARANAVI,CIUDAD DE CARANAVI,0,9259,9056,18315,5601,710,7,5,319,72,366,5403,273,1107,82,215,1205,79,27,1581,4002,50,5,107,5567,521,39,62,40,108,185,251,307,4322,268,1366,47,0,18,1046,6341,8,18,81,632,4862,1574,162,23,322,47,90,5336,754,990
LA PAZ,CARANAVI,CARANAVI,Colonia Fiscal Simon Bolivar,0,52,40,92,25,2,0,0,4,2,1,26,0,3,5,0,10,0,0,3,21,0,0,0,19,0,0,0,1,0,13,1,0,0,3,24,0,0,0,7,25,0,0,0,9,33,1,0,0,0,0,0,20,10,4
COCHABAMBA,AYOPAYA,COCAPATA,Colorado,0,94,138,232,27,6,1,4,90,0,1,127,0,0,1,1,92,2,2,13,20,0,0,0,1,3,0,0,0,115,2,5,3,2,1,47,0,0,3,76,83,0,1,0,45,119,6,0,0,4,0,0,111,6,12
LA PAZ,NOR YUNGAS,COROICO,COROICO- CHACARILLA,0,1346,1426,2772,851,204,0,3,11,4,19,926,32,110,7,17,83,38,33,485,430,3,2,12,948,39,2,7,7,17,44,21,7,699,108,164,32,0,6,81,1048,1,9,4,30,719,220,50,2,66,20,15,852,110,130
LA PAZ,CARANAVI,CARANAVI,Corpus Christi,0,90,66,156,31,17,0,0,8,2,2,57,1,0,1,1,21,0,0,8,29,1,0,1,32,0,0,0,0,1,25,0,2,3,8,27,1,0,3,9,51,0,2,0,7,48,8,0,0,2,0,2,41,6,13
SANTA CRUZ,ANDRÉS IBÁÑEZ,EL TORNO,EL TORNO - SANTA MARTHA,0,1729,1811,3540,946,2,1,0,17,1,8,165,695,61,3,51,51,4,2,479,392,13,5,9,825,125,0,5,3,0,0,4,13,57,147,675,1,0,10,70,941,2,2,10,20,713,101,18,7,101,20,15,640,183,152
LA PAZ,CARANAVI,CARANAVI,Manchego,0,108,88,196,30,12,0,1,21,8,17,69,0,5,5,10,44,0,0,6,27,1,0,11,61,0,0,2,8,0,5,1,12,4,2,58,0,0,1,23,71,0,0,0,18,85,0,0,0,4,0,0,5336,754,990
LA PAZ,CARANAVI,CARANAVI,Manchego,0,9259,9056,18315,5601,710,7,5,319,72,366,5403,273,1107,82,215,1205,79,27,1581,4002,50,5,107,5567,521,39,62,40,108,185,251,307,4322,268,1366,47,0,18,1046,6341,8,18,81,632,4862,1574,162,23,322,47,90,5336,754,990
COCHABAMBA,CHAPARE,VILLA TUNARI,Nueva Chapare,0,83,74,157,28,2,0,3,26,0,0,39,19,1,0,0,14,6,0,10,27,0,0,0,13,31,0,8,4,0,0,2,1,6,8,27,0,0,1,17,52,1,0,0,6,48,2,0,0,2,4,3,39,5,15
POTOSÍ,TOMÁS FRÍAS,POTOSÍ,"POTOSÍ, (KALLA WACA, KARACHIPAMPA, TEJA TAMBO Y JESÚS VALLE)",0,95473,105595,201068,46031,15129,58,70,23,3,346,41759,7215,11501,187,998,3120,725,4978,21570,29818,206,436,406,53493,5347,464,333,502,95,57,568,801,54943,433,596,339,0,59,5223,58841,348,94,329,2048,38924,12172,2737,191,5910,577,1149,43723,8056,9881
LA PAZ,LARECAJA,QUIABAYA,Quiabaya,0,263,286,549,73,106,3,1,0,1,1,176,4,3,1,1,50,38,13,17,64,1,0,2,140,34,0,1,0,0,2,3,5,100,11,36,0,0,0,38,170,0,0,1,14,158,11,0,0,8,6,2,122,44,19
POTOSÍ,ANTONIO QUIJARRO,TOMAVE,"Totora ""K""",0,109,116,225,3,99,0,3,0,0,1,83,0,1,22,0,79,0,1,1,25,0,0,0,70,3,0,1,10,14,5,0,3,2,1,47,0,0,0,56,79,0,12,0,15,97,0,0,0,8,1,0,86,8,12
